b'Date,Open,High,Low,Close,Volume,Adj Close
2017-03-07,31.01,31.030001,30.82,30.85,475400,30.85
2017-03-06,31.32,31.32,31.10,31.18,537800,31.18
2017-03-03,31.559999,31.67,31.440001,31.559999,952800,31.559999
2017-03-02,31.40,31.52,31.360001,31.41,1097800,31.41
2017-03-01,31.26,31.549999,31.219999,31.530001,1103400,31.530001
2017-02-28,31.040001,31.15,30.889999,30.959999,826700,30.959999
2017-02-27,30.90,30.92,30.700001,30.77,686400,30.77
2017-02-24,30.98,30.98,30.84,30.93,535300,30.93
2017-02-23,31.23,31.24,31.059999,31.24,958900,31.24
2017-02-22,31.290001,31.34,31.200001,31.309999,668100,31.309999
2017-02-21,31.190001,31.309999,31.120001,31.23,727200,31.23
2017-02-17,31.280001,31.34,31.18,31.34,756000,31.34
2017-02-16,31.290001,31.40,31.24,31.299999,654000,31.299999
2017-02-15,31.370001,31.60,31.370001,31.57,621800,31.57
2017-02-14,31.530001,31.709999,31.459999,31.629999,548800,31.629999
2017-02-13,31.540001,31.780001,31.540001,31.68,654100,31.68
2017-02-10,31.700001,31.809999,31.639999,31.77,517000,31.77
2017-02-09,31.73,31.92,31.709999,31.799999,490600,31.799999
2017-02-08,31.889999,32.060001,31.790001,31.83,606300,31.83
'
